"Station","Period","Date","Swath","SpeciesCode","Density"
1,1,"08/27/80","10R",0024,0.25
1,1,"08/27/80","22R",0024,0.30
1,1,"08/27/80","32L",0024,0.20
1,1,"08/27/80","39R",0024,0.10
1,1,"08/27/80","45R",0024,0.45
1,1,"08/27/80","10R",0029,0.00
1,1,"08/27/80","22R",0029,0.65
1,1,"08/27/80","32L",0029,0.00
1,1,"08/27/80","39R",0029,0.15
1,1,"08/27/80","45R",0029,0.15
1,1,"08/27/80","10R",0030,1.35
1,1,"08/27/80","22R",0030,5.95
1,1,"08/27/80","32L",0030,0.90
1,1,"08/27/80","39R",0030,5.85
1,1,"08/27/80","45R",0030,4.15
1,1,"08/27/80","10R",0066,0.25
1,1,"08/27/80","22R",0066,0.60
1,1,"08/27/80","32L",0066,0.05
1,1,"08/27/80","39R",0066,0.30
1,1,"08/27/80","45R",0066,0.05
1,1,"08/27/80","10R",0067,0.00
1,1,"08/27/80","22R",0067,0.05
1,1,"08/27/80","32L",0067,0.05
1,1,"08/27/80","39R",0067,0.05
1,1,"08/27/80","45R",0067,0.00
1,1,"08/27/80","10R",0075,0.00
1,1,"08/27/80","22R",0075,0.00
1,1,"08/27/80","32L",0075,0.00
1,1,"08/27/80","39R",0075,0.00
1,1,"08/27/80","45R",0075,0.00
1,1,"08/27/80","10R",0081,0.00
1,1,"08/27/80","22R",0081,0.05
1,1,"08/27/80","32L",0081,0.00
1,1,"08/27/80","39R",0081,0.00
1,1,"08/27/80","45R",0081,0.00
1,1,"08/27/80","10R",0082,0.00
1,1,"08/27/80","22R",0082,0.00
1,1,"08/27/80","32L",0082,0.00
1,1,"08/27/80","39R",0082,0.00
1,1,"08/27/80","45R",0082,0.00
1,1,"08/27/80","10R",0085,0.00
1,1,"08/27/80","22R",0085,0.00
1,1,"08/27/80","32L",0085,0.00
1,1,"08/27/80","39R",0085,0.00
1,1,"08/27/80","45R",0085,0.00
1,1,"08/27/80","10R",0089,0.40
1,1,"08/27/80","22R",0089,0.30
1,1,"08/27/80","32L",0089,0.65
1,1,"08/27/80","39R",0089,0.35
1,1,"08/27/80","45R",0089,0.40
1,1,"08/27/80","10R",0092,0.35
1,1,"08/27/80","22R",0092,0.35
1,1,"08/27/80","32L",0092,0.05
1,1,"08/27/80","39R",0092,0.10
1,1,"08/27/80","45R",0092,0.25
1,1,"08/27/80","10R",0152,0.00
1,1,"08/27/80","22R",0152,0.00
1,1,"08/27/80","32L",0152,0.00
1,1,"08/27/80","39R",0152,0.00
1,1,"08/27/80","45R",0152,0.00
1,1,"08/27/80","10R",0553,0.55
1,1,"08/27/80","22R",0553,0.45
1,1,"08/27/80","32L",0553,0.65
1,1,"08/27/80","39R",0553,0.45
1,1,"08/27/80","45R",0553,0.30
1,1,"08/27/80","10R",0556,1.50
1,1,"08/27/80","22R",0556,0.35
1,1,"08/27/80","32L",0556,1.50
1,1,"08/27/80","39R",0556,0.20
1,1,"08/27/80","45R",0556,0.25
1,1,"08/27/80","10R",0557,0.00
