Year,DecJan,JanFeb,FebMar,MarApr,AprMay,MayJun,JunJul,JulAug,AugSep,SepOct,OctNov,NovDec
1950,-1.043,-1.162,-1.312,-1.104,-1.433,-1.391,-1.296,-1.057,-0.627,-0.424,-1.171,-1.263
1951,-1.078,-1.189,-1.222,-0.523,-0.36,0.349,0.666,0.822,0.734,0.731,0.709,0.477
1952,0.421,0.136,0.063,0.22,-0.309,-0.723,-0.316,-0.233,0.313,0.274,-0.359,-0.132
1953,0.032,0.385,0.256,0.682,0.784,0.218,0.368,0.206,0.484,0.078,0.063,0.316
1954,-0.044,-0.032,0.162,-0.567,-1.416,-1.564,-1.378,-1.481,-1.165,-1.361,-1.139,-1.114
1955,-0.766,-0.698,-1.152,-1.634,-1.642,-2.243,-1.998,-2.067,-1.831,-1.767,-1.852,-1.879
1956,-1.447,-1.323,-1.413,-1.132,-1.317,-1.502,-1.259,-1.142,-1.371,-1.469,-1.058,-1.04
1957,-0.944,-0.364,0.134,0.353,0.866,0.769,0.908,1.128,1.148,1.077,1.122,1.24
1958,1.474,1.442,1.32,1.013,0.719,0.864,0.693,0.415,0.173,0.202,0.468,0.67
1959,0.549,0.788,0.496,0.197,0.013,-0.018,-0.134,0.108,0.102,-0.067,-0.176,-0.255
1960,-0.297,-0.257,-0.094,-0.019,-0.335,-0.254,-0.34,-0.257,-0.466,-0.363,-0.341,-0.438
1961,-0.167,-0.261,-0.097,0,-0.288,-0.137,-0.216,-0.301,-0.293,-0.526,-0.44,-0.634
1962,-1.082,-0.988,-0.724,-1.039,-0.91,-0.852,-0.701,-0.546,-0.554,-0.676,-0.625,-0.506
1963,-0.73,-0.861,-0.69,-0.792,-0.477,-0.087,0.401,0.597,0.749,0.817,0.843,0.739
1964,0.867,0.465,-0.269,-0.563,-1.242,-1.115,-1.405,-1.511,-1.311,-1.225,-1.242,-0.945
1965,-0.554,-0.349,-0.276,0.053,0.49,0.915,1.36,1.436,1.399,1.217,1.355,1.253
1966,1.305,1.178,0.678,0.528,-0.152,-0.168,-0.136,0.147,-0.091,-0.035,0.007,-0.198
1967,-0.474,-0.924,-1.068,-1.059,-0.455,-0.266,-0.521,-0.403,-0.616,-0.686,-0.425,-0.378
1968,-0.622,-0.74,-0.629,-0.965,-1.095,-0.771,-0.527,-0.1,0.224,0.426,0.59,0.35
1969,0.664,0.844,0.452,0.623,0.696,0.82,0.467,0.182,0.165,0.508,0.67,0.392
1970,0.367,0.411,0.215,-0.023,-0.126,-0.659,-1.089,-1.027,-1.258,-1.091,-1.078,-1.224
1971,-1.221,-1.521,-1.807,-1.888,-1.464,-1.448,-1.23,-1.235,-1.465,-1.424,-1.33,-0.998
1972,-0.595,-0.422,-0.262,-0.196,0.464,1.069,1.827,1.827,1.547,1.651,1.747,1.761
1973,1.72,1.497,0.845,0.481,-0.106,-0.769,-1.081,-1.356,-1.729,-1.671,-1.496,-1.844
1974,-1.934,-1.793,-1.76,-1.673,-1.077,-0.67,-0.769,-0.657,-0.624,-1.053,-1.243,-0.906
1975,-0.544,-0.597,-0.884,-0.963,-0.863,-1.15,-1.519,-1.745,-1.877,-1.986,-1.771,-1.752
1976,-1.613,-1.394,-1.246,-1.184,-0.496,0.307,0.615,0.658,1.029,0.938,0.49,0.547
1977,0.516,0.271,0.131,0.539,0.326,0.451,0.866,0.695,0.801,0.993,0.97,0.86
1978,0.77,0.893,0.936,0.191,-0.388,-0.579,-0.433,-0.192,-0.386,-0.024,0.178,0.392
1979,0.598,0.361,-0.015,0.283,0.38,0.423,0.369,0.636,0.779,0.666,0.744,0.996
1980,0.678,0.589,0.69,0.907,0.961,0.907,0.749,0.328,0.279,0.209,0.252,0.098
1981,-0.254,-0.163,0.457,0.669,0.161,-0.019,-0.048,-0.085,0.178,0.108,-0.036,-0.137
1982,-0.268,-0.138,0.106,-0.009,0.429,0.944,1.604,1.817,1.808,2.019,2.433,2.418
1983,2.691,2.909,3.011,2.824,2.542,2.24,1.763,1.155,0.481,0.034,-0.131,-0.176
1984,-0.327,-0.533,0.143,0.347,0.131,-0.079,-0.084,-0.159,-0.101,0.009,-0.344,-0.596
1985,-0.559,-0.594,-0.718,-0.481,-0.707,-0.133,-0.143,-0.354,-0.513,-0.135,-0.057,-0.299
1986,-0.307,-0.196,0.04,-0.11,0.35,0.306,0.383,0.804,1.122,0.98,0.865,1.183
1987,1.243,1.192,1.719,1.866,2.14,1.964,1.859,1.982,1.888,1.643,1.271,1.284
1988,1.116,0.697,0.487,0.353,0.119,-0.622,-1.145,-1.319,-1.499,-1.315,-1.44,-1.306
1989,-1.128,-1.271,-1.037,-0.795,-0.435,-0.253,-0.459,-0.483,-0.277,-0.314,-0.045,0.127
1990,0.232,0.555,0.945,0.442,0.637,0.484,0.12,0.14,0.384,0.28,0.39,0.357
1991,0.32,0.313,0.405,0.463,0.759,1.1,1.023,1.022,0.759,1.024,1.2,1.325
1992,1.749,1.864,1.993,2.275,2.129,1.748,1.018,0.573,0.52,0.664,0.589,0.64
1993,0.686,0.979,0.99,1.409,1.998,1.591,1.17,1.032,0.987,1.063,0.839,0.595
1994,0.349,0.197,0.174,0.465,0.573,0.788,0.88,0.769,0.903,1.419,1.29,1.229
1995,1.216,0.961,0.879,0.466,0.563,0.508,0.207,-0.164,-0.413,-0.471,-0.453,-0.546
1996,-0.63,-0.581,-0.227,-0.42,-0.127,0.068,-0.204,-0.377,-0.443,-0.349,-0.13,-0.325
1997,-0.489,-0.595,-0.222,0.535,1.165,2.292,2.805,3.038,3.049,2.417,2.575,2.368
1998,2.503,2.792,2.768,2.685,2.212,1.292,0.347,-0.36,-0.587,-0.795,-1.099,-0.941
1999,-1.094,-1.176,-1.019,-0.982,-0.66,-0.361,-0.507,-0.767,-0.974,-0.977,-1.042,-1.192
2000,-1.164,-1.207,-1.112,-0.479,0.169,-0.053,-0.184,-0.141,-0.219,-0.372,-0.712,-0.551
2001,-0.502,-0.669,-0.571,-0.091,0.233,0.006,0.27,0.366,-0.108,-0.266,-0.159,0.028
2002,-0.032,-0.176,-0.137,0.401,0.851,0.913,0.685,0.949,0.859,0.976,1.076,1.141
2003,1.199,0.937,0.831,0.365,0.111,0.097,0.144,0.267,0.459,0.519,0.536,0.349
2004,0.322,0.356,-0.056,0.285,0.539,0.267,0.541,0.665,0.531,0.497,0.815,0.665
2005,0.31,0.81,1.055,0.642,0.836,0.585,0.49,0.329,0.288,-0.149,-0.376,-0.576
2006,-0.435,-0.411,-0.533,-0.621,0.008,0.53,0.691,0.76,0.825,0.934,1.322,0.998
