"SpeciesCode","SpeciesName","DataSet"
0,"Bare substratum","Benthic cover"
2,"Anthopleura sola","Benthic cover"
12,"Dodecaceria fewkesi","Benthic cover"
24,"Patiria miniata","Benthic density"
25,"Phragmatopoma californica","Benthic cover"
29,"Strongylocentrotus franciscanus","Benthic density"
29,"Strongylocentrotus franciscanus","Benthic cover"
30,"Strongylocentrotus purpuratus","Benthic density"
30,"Strongylocentrotus purpuratus","Benthic cover"
45,"Acanthancora cyanocrypta","Benthic cover"
46,"Aglaophenia spp.","Benthic cover"
47,"Balanophyllia elegans","Benthic cover"
48,"Corynactis californica","Benthic cover"
49,"Epiactis prolifera","Benthic cover"
50,"Diopatra ornata","Benthic cover"
51,"Serpulorbis squamiger","Benthic cover"
52,"Cellaria spp.","Benthic cover"
53,"Crisia spp.","Benthic cover"
54,"Hippodiplosia insculpta","Benthic cover"
55,"Membranipora fusca","Benthic cover"
56,"Pink encrusting bryozoan","Benthic cover"
57,"Cucumeria fisheri","Benthic cover"
58,"Eupentacta quinquesemita","Benthic cover"
59,"Pachythyone rubra","Benthic cover"
60,"Synoicum spp.","Benthic cover"
61,"Abietinaria spp.","Benthic cover"
62,"Acarnus erithacus","Benthic cover"
63,"Aplidium spp.","Benthic cover"
64,"Archidistoma psammion","Benthic cover"
65,"Astrangia lajollaensis","Benthic cover"
66,"Megastraea undosa","Benthic density"
67,"Astrometis sertulifera","Benthic density"
69,"Balanus spp.","Benthic cover"
70,"Barnacle","Benthic cover"
72,"Celleporina costazii","Benthic cover"
73,"Cucumaria salma","Benthic cover"
74,"Cystodytes lobatus","Benthic cover"
75,"Dermasterias imbricata","Benthic density"
76,"Didemnum carnulentum","Benthic cover"
77,"Diplosoma macdonaldi","Benthic cover"
78,"Dodecaceria spp.","Benthic cover"
79,"Unknown sponge","Benthic cover"
80,"Halichondria spp.","Benthic cover"
81,"Haliotis corrugata","Benthic density"
82,"Haliotis rufescens","Benthic density"
82,"Haliotis rufescens","Benthic cover"
83,"Lagenipora spp.","Benthic cover"
84,"Leucilla nuttingi","Benthic cover"
85,"Megathura crenulata","Benthic density"
86,"Metandrocarpa dura","Benthic cover"
87,"Orange encrusting sponge","Benthic cover"
88,"Paracyathus stearnsii","Benthic cover"
89,"Parastichopus parvimensis","Benthic density"
91,"Pholad clam","Benthic cover"
92,"Pisaster giganteus","Benthic density"
96,"Ritterella aequalisiphonis","Benthic cover"
97,"Unknown tunicate","Benthic cover"
98,"Serpulid worm","Benthic cover"
99,"Spheciospongia confoederata","Benthic cover"
100,"Stylantheca porphyra","Benthic cover"
101,"Styela montereyensis","Benthic cover"
102,"Urticina spp.","Benthic cover"
103,"Tethya aurantia","Benthic cover"
104,"Trididemnum opacum","Benthic cover"
105,"Sertularia spp.","Benthic cover"
107,"Hydractinia milleri","Benthic cover"
108,"Unidentified spp.","Benthic cover"
109,"Archidistoma molli","Benthic cover"
110,"Mucus tube","Benthic cover"
111,"Worm tube sand","Benthic cover"
113,"Phidolopora pacifica","Benthic cover"
114,"Lissothuria nutriens","Benthic cover"
116,"Eurystomella bilabiata","Benthic cover"
117,"Anthopleura spp.","Benthic cover"
118,"Salmacina tribranchiata","Benthic cover"
119,"Bugula spp.","Benthic cover"
121,"Plumularia spp.","Benthic cover"
122,"Schizoporella unicornis","Benthic cover"
123,"Leucosolenia eleanor","Benthic cover"
127,"Rootbeer brown sponge","Benthic cover"
128,"Leucetta losangelensis","Benthic cover"
129,"Microciona parthena","Benthic cover"
130,"Gold encrusting bryozoan","Benthic cover"
131,"Boltenia villosa","Benthic cover"
132,"Sabellid polychaete","Benthic cover"
134,"Clavelina huntsmani","Benthic cover"
135,"Parchment tube polychaete","Benthic cover"
138,"Thalamoporella california","Benthic cover"
139,"Pista elongata","Benthic cover"
140,"Sertularella turgida","Benthic cover"
141,"Spirobranchus spinosus","Benthic cover"
142,"Polyclinum planum","Benthic cover"
143,"Crepipatella lingulata","Benthic cover"
147,"Crassadoma gigantea","Benthic cover"
148,"Rubble/Shell","Benthic cover"
150,"Pycnoclavella stanleyi","Benthic cover"
