Year,Month,Day,Matlab,Max_2,Mean_2
1987,1,1,725738,3.75,3.75
1987,1,2,725739,4.20,3.40
1987,1,3,725740,5.48,5.48
1987,1,4,725741,5.57,4.50
1987,1,5,725742,3.91,2.92
1987,1,6,725743,4.36,2.87
1987,1,7,725744,1.62,1.50
1987,1,8,725745,1.73,1.46
1987,1,9,725746,1.58,1.47
1987,1,10,725747,1.73,1.51
1987,1,11,725748,1.85,1.71
1987,1,12,725749,1.71,1.58
1987,1,13,725750,3.26,2.92
1987,1,14,725751,3.15,2.82
1987,1,15,725752,3.34,2.52
1987,1,16,725753,3.43,2.77
1987,1,17,725754,2.00,1.77
1987,1,18,725755,1.77,1.59
1987,1,19,725756,2.03,1.84
1987,1,20,725757,1.94,1.63
1987,1,21,725758,1.38,1.00
1987,1,22,725759,0.93,0.76
1987,1,23,725760,1.72,1.39
1987,1,24,725761,2.09,1.89
1987,1,25,725762,2.68,2.05
1987,1,26,725763,3.54,3.00
1987,1,27,725764,2.38,1.95
1987,1,28,725765,1.63,1.63
1987,1,29,725766,2.45,2.18
1987,1,30,725767,1.95,1.66
1987,1,31,725768,4.04,3.22
1987,2,1,725769,2.67,2.40
1987,2,2,725770,2.34,2.04
1987,2,3,725771,1.75,1.50
1987,2,4,725772,1.88,1.57
1987,2,5,725773,3.08,2.42
1987,2,6,725774,2.07,1.68
1987,2,7,725775,1.76,1.45
1987,2,8,725776,1.72,1.65
1987,2,9,725777,1.54,1.45
1987,2,10,725778,1.79,1.65
1987,2,11,725779,1.72,1.43
1987,2,12,725780,1.84,1.51
1987,2,13,725781,2.00,1.87
1987,2,14,725782,2.12,1.82
1987,2,15,725783,2.61,2.10
1987,2,16,725784,3.21,2.64
1987,2,17,725785,2.65,2.26
1987,2,18,725786,2.93,2.24
1987,2,19,725787,3.32,2.72
1987,2,20,725788,2.49,2.30
1987,2,21,725789,2.08,1.91
1987,2,22,725790,3.11,2.75
1987,2,23,725791,4.03,3.16
1987,2,24,725792,3.53,3.16
1987,2,25,725793,2.67,2.26
1987,2,26,725794,2.15,1.67
1987,2,27,725795,1.49,1.15
1987,2,28,725796,1.04,0.83
1987,3,1,725797,1.26,1.00
1987,3,2,725798,1.20,0.91
1987,3,3,725799,0.96,0.84
1987,3,4,725800,1.93,1.54
1987,3,5,725801,2.31,2.03
1987,3,6,725802,2.13,2.04
1987,3,7,725803,2.06,1.95
1987,3,8,725804,1.73,1.34
1987,3,9,725805,2.33,1.68
1987,3,10,725806,2.07,1.74
1987,3,11,725807,2.18,1.73
1987,3,12,725808,2.14,1.88
1987,3,13,725809,3.35,2.69
1987,3,14,725810,3.51,2.98
1987,3,15,725811,3.64,2.63
1987,3,16,725812,3.66,3.18
1987,3,17,725813,2.88,2.12
1987,3,18,725814,1.93,1.76
1987,3,19,725815,2.00,1.83
1987,3,20,725816,2.52,2.11
1987,3,21,725817,1.98,1.61
1987,3,22,725818,2.80,2.17
1987,3,23,725819,2.14,1.90
1987,3,24,725820,2.59,2.36
1987,3,25,725821,2.56,2.29
1987,3,26,725822,2.17,1.77
1987,3,27,725823,1.73,1.62
1987,3,28,725824,1.75,1.43
1987,3,29,725825,1.10,0.88
1987,3,30,725826,0.69,0.62
1987,3,31,725827,0.82,0.75
1987,4,1,725828,1.46,1.20
1987,4,2,725829,2.22,1.75
1987,4,3,725830,3.00,2.64
1987,4,4,725831,2.55,2.42
1987,4,5,725832,2.70,1.90
1987,4,6,725833,1.78,1.70
1987,4,7,725834,1.87,1.81
1987,4,8,725835,2.94,2.57
1987,4,9,725836,2.93,2.54
1987,4,10,725837,2.19,2.05
1987,4,11,725838,2.98,2.13
1987,4,12,725839,3.18,2.92
1987,4,13,725840,2.57,2.14
1987,4,14,725841,1.68,1.26
1987,4,15,725842,1.54,1.25
1987,4,16,725843,NaN,NaN
1987,4,17,725844,1.38,1.38
1987,4,18,725845,NaN,NaN
1987,4,19,725846,NaN,NaN
1987,4,20,725847,NaN,NaN
1987,4,21,725848,1.69,1.69
1987,4,22,725849,1.90,1.88
1987,4,23,725850,1.40,1.40
1987,4,24,725851,NaN,NaN
1987,4,25,725852,NaN,NaN
1987,4,26,725853,NaN,NaN
1987,4,27,725854,0.96,0.96
1987,4,28,725855,0.79,0.79
1987,4,29,725856,NaN,NaN
1987,4,30,725857,0.74,0.74
1987,5,1,725858,0.94,0.94
1987,5,2,725859,NaN,NaN
1987,5,3,725860,NaN,NaN
1987,5,4,725861,NaN,NaN
1987,5,5,725862,NaN,NaN
1987,5,6,725863,NaN,NaN
1987,5,7,725864,NaN,NaN
1987,5,8,725865,NaN,NaN
1987,5,9,725866,NaN,NaN
1987,5,10,725867,NaN,NaN
1987,5,11,725868,NaN,NaN
1987,5,12,725869,NaN,NaN
1987,5,13,725870,NaN,NaN
1987,5,14,725871,NaN,NaN
1987,5,15,725872,0.87,0.83
1987,5,16,725873,NaN,NaN
1987,5,17,725874,NaN,NaN
1987,5,18,725875,NaN,NaN
1987,5,19,725876,NaN,NaN
1987,5,20,725877,NaN,NaN
1987,5,21,725878,1.77,1.77
1987,5,22,725879,NaN,NaN
1987,5,23,725880,NaN,NaN
1987,5,24,725881,1.43,1.43
1987,5,25,725882,NaN,NaN
1987,5,26,725883,1.65,1.57
1987,5,27,725884,1.60,1.43
1987,5,28,725885,1.84,1.63
1987,5,29,725886,1.75,1.52
1987,5,30,725887,1.55,1.35
1987,5,31,725888,1.70,1.24
1987,6,1,725889,3.03,2.55
1987,6,2,725890,2.55,2.29
1987,6,3,725891,2.10,1.69
1987,6,4,725892,1.36,1.02
1987,6,5,725893,0.84,0.79
1987,6,6,725894,1.48,1.29
1987,6,7,725895,1.31,1.18
1987,6,8,725896,1.16,1.06
1987,6,9,725897,1.76,1.50
1987,6,10,725898,2.04,1.79
1987,6,11,725899,1.74,1.53
1987,6,12,725900,1.38,1.14
1987,6,13,725901,1.41,1.06
1987,6,14,725902,1.52,1.34
1987,6,15,725903,1.09,1.02
1987,6,16,725904,1.36,1.03
1987,6,17,725905,1.79,1.65
1987,6,18,725906,1.81,1.66
1987,6,19,725907,1.29,1.18
1987,6,20,725908,1.38,1.18
1987,6,21,725909,NaN,NaN
1987,6,22,725910,2.22,2.14
1987,6,23,725911,2.33,2.18
1987,6,24,725912,2.34,1.98
1987,6,25,725913,1.68,1.44
1987,6,26,725914,1.34,1.17
1987,6,27,725915,1.15,1.11
1987,6,28,725916,NaN,NaN
1987,6,29,725917,0.72,0.66
1987,6,30,725918,0.67,0.65
1987,7,1,725919,0.68,0.65
1987,7,2,725920,0.73,0.67
1987,7,3,725921,0.90,0.85
1987,7,4,725922,1.03,0.87
1987,7,5,725923,1.66,1.42
1987,7,6,725924,1.82,1.47
1987,7,7,725925,1.74,1.65
1987,7,8,725926,1.98,1.79
1987,7,9,725927,2.17,1.89
1987,7,10,725928,1.73,1.52
1987,7,11,725929,NaN,NaN
1987,7,12,725930,NaN,NaN
1987,7,13,725931,NaN,NaN
1987,7,14,725932,NaN,NaN
1987,7,15,725933,0.68,0.66
1987,7,16,725934,1.17,0.85
1987,7,17,725935,2.04,1.70
1987,7,18,725936,1.78,1.47
1987,7,19,725937,1.24,1.05
1987,7,20,725938,1.02,0.88
1987,7,21,725939,0.95,0.83
1987,7,22,725940,0.79,0.75
1987,7,23,725941,0.97,0.89
1987,7,24,725942,1.17,0.91
1987,7,25,725943,1.84,1.53
1987,7,26,725944,1.74,1.49
1987,7,27,725945,1.29,1.16
1987,7,28,725946,1.57,1.32
1987,7,29,725947,1.45,1.29
1987,7,30,725948,1.74,1.57
1987,7,31,725949,1.77,1.69
1987,8,1,725950,1.55,1.40
1987,8,2,725951,1.28,1.10
1987,8,3,725952,1.08,0.99
1987,8,4,725953,0.90,0.83
1987,8,5,725954,0.91,0.78
1987,8,6,725955,1.22,1.00
1987,8,7,725956,1.34,1.21
1987,8,8,725957,1.40,1.33
1987,8,9,725958,1.42,1.32
1987,8,10,725959,1.23,1.07
1987,8,11,725960,1.01,0.92
1987,8,12,725961,1.02,0.89
1987,8,13,725962,1.15,0.98
1987,8,14,725963,1.09,0.99
1987,8,15,725964,1.12,0.96
1987,8,16,725965,1.09,1.01
1987,8,17,725966,1.25,1.10
1987,8,18,725967,1.07,0.99
1987,8,19,725968,0.95,0.91
1987,8,20,725969,1.04,1.00
1987,8,21,725970,1.18,0.94
1987,8,22,725971,0.85,0.79
1987,8,23,725972,0.80,0.72
1987,8,24,725973,0.82,0.76
1987,8,25,725974,1.25,1.00
1987,8,26,725975,1.20,0.98
1987,8,27,725976,1.02,0.95
1987,8,28,725977,1.03,0.94
1987,8,29,725978,0.99,0.90
1987,8,30,725979,0.95,0.89
1987,8,31,725980,1.00,0.88
1987,9,1,725981,0.97,0.80
1987,9,2,725982,0.74,0.68
1987,9,3,725983,0.94,0.76
1987,9,4,725984,0.98,0.89
1987,9,5,725985,0.91,0.80
1987,9,6,725986,0.90,0.80
1987,9,7,725987,0.86,0.79
1987,9,8,725988,0.95,0.83
1987,9,9,725989,0.84,0.70
1987,9,10,725990,1.51,1.03
1987,9,11,725991,1.68,1.59
1987,9,12,725992,1.47,1.14
1987,9,13,725993,0.87,0.82
1987,9,14,725994,0.84,0.77
1987,9,15,725995,1.31,1.10
1987,9,16,725996,2.77,2.05
1987,9,17,725997,2.52,2.09
1987,9,18,725998,1.74,1.49
1987,9,19,725999,1.17,1.08
1987,9,20,726000,1.23,1.05
1987,9,21,726001,1.45,1.29
1987,9,22,726002,1.74,1.53
1987,9,23,726003,1.63,1.51
1987,9,24,726004,1.48,1.30
1987,9,25,726005,1.67,1.45
1987,9,26,726006,2.33,2.01
1987,9,27,726007,2.25,2.15
1987,9,28,726008,1.45,1.43
1987,9,29,726009,1.42,1.21
1987,9,30,726010,1.10,1.04
1987,10,1,726011,1.03,0.98
1987,10,2,726012,0.92,0.90
1987,10,3,726013,1.65,1.27
1987,10,4,726014,1.61,1.36
1987,10,5,726015,1.45,1.21
1987,10,6,726016,1.47,1.38
1987,10,7,726017,1.38,1.26
1987,10,8,726018,1.18,1.09
1987,10,9,726019,1.05,0.97
1987,10,10,726020,0.94,0.90
1987,10,11,726021,1.21,0.97
1987,10,12,726022,1.08,0.92
1987,10,13,726023,1.22,1.06
1987,10,14,726024,1.04,0.92
1987,10,15,726025,1.01,0.92
1987,10,16,726026,1.43,1.31
1987,10,17,726027,1.21,1.06
1987,10,18,726028,1.17,1.03
1987,10,19,726029,1.16,1.05
1987,10,20,726030,1.02,0.84
1987,10,21,726031,0.84,0.77
1987,10,22,726032,0.77,0.70
1987,10,23,726033,1.18,0.79
1987,10,24,726034,1.48,1.37
1987,10,25,726035,1.45,1.28
1987,10,26,726036,1.17,1.05
1987,10,27,726037,1.27,1.13
1987,10,28,726038,1.36,1.22
1987,10,29,726039,1.09,1.00
1987,10,30,726040,1.16,1.02
1987,10,31,726041,1.74,1.48
1987,11,1,726042,2.11,1.98
1987,11,2,726043,2.19,2.04
1987,11,3,726044,1.89,1.65
1987,11,4,726045,1.65,1.55
1987,11,5,726046,1.47,1.32
1987,11,6,726047,1.35,1.25
1987,11,7,726048,1.18,1.14
1987,11,8,726049,1.18,1.06
1987,11,9,726050,2.68,1.76
1987,11,10,726051,2.70,2.50
1987,11,11,726052,2.12,1.61
1987,11,12,726053,1.81,1.52
1987,11,13,726054,2.45,2.25
1987,11,14,726055,2.63,2.14
1987,11,15,726056,2.65,2.41
1987,11,16,726057,2.36,1.96
1987,11,17,726058,1.37,1.28
1987,11,18,726059,1.37,1.14
1987,11,19,726060,1.56,1.28
1987,11,20,726061,0.93,0.79
1987,11,21,726062,2.59,1.51
1987,11,22,726063,2.30,2.19
1987,11,23,726064,2.17,1.96
1987,11,24,726065,2.28,2.15
1987,11,25,726066,2.92,2.47
1987,11,26,726067,2.93,2.30
1987,11,27,726068,1.89,1.39
1987,11,28,726069,2.73,2.00
1987,11,29,726070,2.35,2.17
1987,11,30,726071,1.89,1.57
1987,12,1,726072,3.96,2.60
1987,12,2,726073,4.89,3.40
1987,12,3,726074,4.28,3.56
1987,12,4,726075,2.48,2.07
1987,12,5,726076,2.32,2.25
1987,12,6,726077,2.13,1.52
1987,12,7,726078,3.57,2.73
1987,12,8,726079,4.21,3.73
1987,12,9,726080,3.80,3.48
1987,12,10,726081,2.68,2.46
1987,12,11,726082,4.45,3.64
1987,12,12,726083,4.10,3.65
1987,12,13,726084,4.02,3.56
1987,12,14,726085,2.42,1.82
1987,12,15,726086,1.24,1.08
1987,12,16,726087,4.17,2.92
1987,12,17,726088,2.90,2.05
1987,12,18,726089,2.22,2.08
1987,12,19,726090,2.31,2.03
1987,12,20,726091,2.53,1.89
1987,12,21,726092,1.77,1.50
1987,12,22,726093,2.69,1.86
1987,12,23,726094,4.13,3.82
1987,12,24,726095,3.57,3.25
1987,12,25,726096,3.14,2.33
1987,12,26,726097,1.80,1.31
1987,12,27,726098,1.44,1.16
1987,12,28,726099,1.51,1.31
1987,12,29,726100,2.50,2.14
1987,12,30,726101,2.28,1.93
1987,12,31,726102,1.86,1.61
1988,1,1,726103,1.36,1.09
1988,1,2,726104,0.77,0.73
1988,1,3,726105,0.81,0.77
1988,1,4,726106,0.97,0.92
1988,1,5,726107,1.23,1.11
1988,1,6,726108,1.45,1.32
1988,1,7,726109,1.72,1.52
1988,1,8,726110,1.55,1.15
1988,1,9,726111,1.85,1.73
1988,1,10,726112,2.23,2.03
1988,1,11,726113,2.35,2.16
1988,1,12,726114,3.04,2.86
1988,1,13,726115,2.21,1.77
1988,1,14,726116,1.67,1.32
1988,1,15,726117,2.89,2.31
1988,1,16,726118,3.65,3.26
1988,1,17,726119,5.17,2.82
1988,1,18,726120,5.91,5.30
1988,1,19,726121,3.59,3.38
1988,1,20,726122,2.60,2.28
1988,1,21,726123,1.86,1.80
1988,1,22,726124,1.70,1.70
1988,1,23,726125,1.99,1.52
1988,1,24,726126,2.42,1.80
1988,1,25,726127,1.88,1.60
1988,1,26,726128,1.33,1.19
1988,1,27,726129,1.29,1.14
1988,1,28,726130,1.11,0.85
1988,1,29,726131,2.24,1.94
1988,1,30,726132,1.82,1.53
1988,1,31,726133,1.79,1.60
1988,2,1,726134,1.49,1.15
1988,2,2,726135,1.22,0.99
1988,2,3,726136,1.75,1.50
1988,2,4,726137,1.45,1.28
1988,2,5,726138,1.41,1.23
1988,2,6,726139,1.45,1.25
1988,2,7,726140,1.89,1.79
1988,2,8,726141,1.83,1.69
1988,2,9,726142,1.79,1.72
1988,2,10,726143,1.83,1.63
1988,2,11,726144,2.46,2.20
1988,2,12,726145,2.13,1.72
1988,2,13,726146,2.05,1.75
1988,2,14,726147,2.25,2.16
1988,2,15,726148,2.11,1.76
1988,2,16,726149,2.70,2.10
